Timestep,Susceptible,Infected,Recovered,Deceased,Reproduction
0,99.8,0.2,0.0,0.0,0.0
1,99.8,0.2,0.0,0.0,0.0
2,99.78,0.22,0.0,0.0,0.2
3,99.78,0.22,0.0,0.0,0.0
4,99.78,0.22,0.0,0.0,0.0
5,99.76,0.24,0.0,0.0,0.2
6,99.74,0.26,0.0,0.0,0.2
7,99.74,0.26,0.0,0.0,0.0
8,99.72,0.28,0.0,0.0,0.2
9,99.64,0.36,0.0,0.0,0.2
10,99.48,0.52,0.0,0.0,1.2
11,99.44,0.56,0.0,0.0,0.4
12,99.4,0.58,0.02,0.0,0.4
13,99.34,0.64,0.02,0.0,0.4
14,99.34,0.64,0.02,0.0,0.0
15,99.24,0.72,0.02,0.009824,0.7
16,99.18,0.78,0.02,0.009824,0.0
17,99.08,0.86,0.04,0.009824,0.8
18,99.04,0.86,0.08,0.009824,0.0
19,98.94,0.96,0.08,0.009824,0.0
20,98.8,1.08,0.1,0.009824,0.2
21,98.7,1.18,0.1,0.009824,0.7
22,98.62,1.22,0.14,0.009824,0.6
23,98.46,1.38,0.14,0.009824,1.3
24,98.22,1.54,0.22,0.009824,1.133333
25,98.06,1.68,0.24,0.009824,1.0
26,97.96,1.76,0.26,0.009824,0.5
27,97.8,1.9,0.28,0.009824,0.8
28,97.68,1.96,0.32,0.019648,0.5
29,97.48,2.12,0.36,0.019648,1.05
30,97.4,2.18,0.38,0.019648,0.5
31,97.24,2.28,0.44,0.019648,1.0
32,97.02,2.46,0.48,0.019648,0.95
33,96.86,2.6,0.5,0.019648,1.2
34,96.76,2.66,0.54,0.019648,0.5
35,96.58,2.74,0.64,0.019648,0.95
36,96.38,2.9,0.68,0.019648,0.833333
37,96.08,3.16,0.72,0.019648,1.3
38,95.88,3.26,0.82,0.019648,1.1
39,95.76,3.3,0.9,0.019648,0.7
40,95.52,3.42,1.02,0.019648,0.766667
41,95.18,3.68,1.1,0.019648,1.05
42,94.86,3.9,1.2,0.019648,1.416667
43,94.6,4.08,1.28,0.019648,0.72
44,94.32,4.26,1.38,0.019648,1.15
